Year ,Geo,VisibleMinority,AgeGroup,Indicators,Statistics,Uom,Value
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,32.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,43
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic",Percentage of persons,Percent,62.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,57.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,67.5
2020,Canada,"Total, by visible minority group",15 to 24 years,Experience(s) of discrimination since the beginning of COVID-19 pandemic,Percentage of persons,Percent,22.5
2020,Canada,"Total, by visible minority group",15 to 24 years,Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Lower 95% confidence interval, percentage of persons",Percent,19.6
2020,Canada,"Total, by visible minority group",15 to 24 years,Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Upper 95% confidence interval, percentage of persons",Percent,25.8
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,6.2
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,8.4
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,9.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,7.2
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,12
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,1.9
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,1.1
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,3.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,2.9
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,1.7
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,4.7
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,24.4
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,19.1
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,30.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,3.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,1.7
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,6.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,40.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,34.1
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,47.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,25.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,19.7
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,32.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,37.7
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,36.6
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,38.7
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,12.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,11.6
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,13.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,13.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,12.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,14.7
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,5.4
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,6
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic",Percentage of persons,Percent,9.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,8.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,10
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,49.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,48
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,51.7
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic",Percentage of persons,Percent,9.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,8.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,11.2
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic",Percentage of persons,Percent,40.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,39
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,42.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic",Percentage of persons,Percent,14.2
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,12.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,15.5
2020,Canada,"Total, by visible minority group",25 to 64 years,Experience(s) of discrimination since the beginning of COVID-19 pandemic,Percentage of persons,Percent,16.6
2020,Canada,"Total, by visible minority group",25 to 64 years,Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Lower 95% confidence interval, percentage of persons",Percent,15.7
2020,Canada,"Total, by visible minority group",25 to 64 years,Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Upper 95% confidence interval, percentage of persons",Percent,17.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,6
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,5.4
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,6.6
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,7.2
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,6.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,7.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,1.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,1.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,2.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,3.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,2.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,3.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,28.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,26.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,30.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,5.9
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.7
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,7.4
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,37.8
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,35.3
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,40.4
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,4.6
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,3.5
2020,Canada,"Total, by visible minority group",25 to 64 years,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,5.9
2020,Canada,"Total, by visible minority group",65 years and over,"Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,18.1
2020,Canada,"Total, by visible minority group",65 years and over,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,16.9
2020,Canada,"Total, by visible minority group",65 years and over,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,19.4
2020,Canada,"Total, by visible minority group",65 years and over,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,3.7
2020,Canada,"Total, by visible minority group",65 years and over,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,3.1
